step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,4.0,8.0,0.5,4,8
9,4.0,9.0,0.4444444444444444,4,9
10,5.0,10.0,0.5,5,10
11,5.0,11.0,0.45454545454545453,5,11
12,6.0,12.0,0.5,6,12
13,6.0,13.0,0.46153846153846156,6,13
14,7.0,14.0,0.5,7,14
15,7.0,15.0,0.4666666666666667,7,15
16,7.0,16.0,0.4375,7,16
17,7.0,17.0,0.4117647058823529,7,17
18,8.0,18.0,0.4444444444444444,8,18
19,8.0,19.0,0.42105263157894735,8,19
20,8.0,20.0,0.4,8,20
21,8.0,21.0,0.38095238095238093,8,21
22,9.0,22.0,0.4090909090909091,9,22
23,9.0,23.0,0.391304347826087,9,23
24,9.0,24.0,0.375,9,24
25,9.0,25.0,0.36,9,25
26,10.0,26.0,0.38461538461538464,10,26
27,10.0,27.0,0.37037037037037035,10,27
28,10.0,28.0,0.35714285714285715,10,28
29,10.0,29.0,0.3448275862068966,10,29
30,11.0,30.0,0.36666666666666664,11,30
31,11.0,31.0,0.3548387096774194,11,31
32,11.0,32.0,0.34375,11,32
33,11.0,33.0,0.3333333333333333,11,33
34,12.0,34.0,0.35294117647058826,12,34
35,12.0,35.0,0.34285714285714286,12,35
36,12.0,36.0,0.3333333333333333,12,36
37,12.0,37.0,0.32432432432432434,12,37
38,13.0,38.0,0.34210526315789475,13,38
39,13.0,39.0,0.3333333333333333,13,39
40,13.0,40.0,0.325,13,40
41,13.0,41.0,0.3170731707317073,13,41
42,14.0,42.0,0.3333333333333333,14,42
43,14.0,43.0,0.32558139534883723,14,43
44,14.0,44.0,0.3181818181818182,14,44
45,14.0,45.0,0.3111111111111111,14,45
46,15.0,46.0,0.32608695652173914,15,46
47,15.0,47.0,0.3191489361702128,15,47
48,16.0,48.0,0.3333333333333333,16,48
49,15.0,49.0,0.30612244897959184,15,49
