stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
pooled,0,1000,1729,0.07504220493247211,0.0880335155630783
pooled,1,1000,1729,0.17972304508667242,0.19656422880436222
pooled,2,1000,1729,0.2767448466070108,0.292479688314586
pooled,3,1000,1729,0.3778345594119238,0.393215101140491
pooled,4,1000,1729,0.46732599199063857,0.48320153266349225
pooled,5,1000,1729,0.5779711478258648,0.5927738309558902
pooled,6,1000,1729,0.6577447390587894,0.6710353931979128
pooled,7,1000,1729,0.767393862319407,0.779686527106817
pooled,8,1000,1729,0.8625282876156666,0.8719074443942889
pooled,9,1000,1729,0.974199838767781,0.9778451052796983
swe-agent,0,1000,1729,0.07373918318215852,0.08642667691239898
swe-agent,1,1000,1729,0.1787376917598381,0.1977376423734675
swe-agent,2,1000,1729,0.27757987883671453,0.2955622650810278
swe-agent,3,1000,1729,0.3799511083214958,0.39798971435734526
swe-agent,4,1000,1729,0.4687763450237754,0.4856921290469269
swe-agent,5,1000,1729,0.581084696691047,0.5976396364848149
swe-agent,6,1000,1729,0.6572265054814288,0.6717876545706853
swe-agent,7,1000,1729,0.769897259546507,0.7828829965150284
swe-agent,8,1000,1729,0.8628696294147892,0.8731919221462948
swe-agent,9,1000,1729,0.9747576427811339,0.9785445539590288
swe-agent x long,0,1000,1729,0.08667418307453341,0.1058021162429166
swe-agent x long,1,1000,1729,0.1947024435435608,0.22175008801681556
swe-agent x long,2,1000,1729,0.255344528504826,0.2841595791178959
swe-agent x long,3,1000,1729,0.32820329658613556,0.3550920492982801
swe-agent x long,4,1000,1729,0.4050060155882199,0.4297927241687138
swe-agent x long,5,1000,1729,0.48105252750667366,0.5050319747392522
swe-agent x long,6,1000,1729,0.5430089947007563,0.564679028493755
swe-agent x long,7,1000,1729,0.6576725841452523,0.6779185498411261
swe-agent x long,8,1000,1729,0.7771292156922897,0.7932320349602016
swe-agent x long,9,1000,1729,0.9637554152978773,0.9695738052181713
swe-agent x short,0,1000,1729,0.052890039153228485,0.0616901782160704
swe-agent x short,1,1000,1729,0.14404724438602662,0.15901860238799267
swe-agent x short,2,1000,1729,0.4390189619870026,0.4619091584660076
swe-agent x short,3,1000,1729,0.6210024516480523,0.642475958282541
swe-agent x short,4,1000,1729,0.7744331355366055,0.7958581062208212
swe-agent x short,5,1000,1729,0.9472697012125856,0.9565241063893501
swe-agent x short,6,1000,1729,0.956801614502688,0.964494584212894
swe-agent x short,7,1000,1729,0.9996183073666678,0.9999653115027057
swe-agent x short,8,1000,1729,0.9999646705529058,1.0
swe-agent x short,9,1000,1729,1.0,1.0
swe-agent x medium,0,1000,1729,0.04540341271024491,0.051320734384892035
swe-agent x medium,1,1000,1729,0.14745113256050832,0.15759637188208617
swe-agent x medium,2,1000,1729,0.25142745335206956,0.2646777723192354
swe-agent x medium,3,1000,1729,0.3838898645412455,0.39836618806271246
swe-agent x medium,4,1000,1729,0.49501796937541515,0.5135417917359908
