stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
pooled,0,1000,1729,0.07267936525712934,0.08453386424623147
pooled,1,1000,1729,0.17509635790524936,0.19002618079237957
pooled,2,1000,1729,0.2792489564614646,0.29576474383097684
pooled,3,1000,1729,0.3781084375374101,0.3927647672809755
pooled,4,1000,1729,0.47738718640626254,0.49333950964497236
pooled,5,1000,1729,0.5768237282763721,0.5913469997067683
pooled,6,1000,1729,0.670404647706546,0.684014113669772
pooled,7,1000,1729,0.7744303152693356,0.7861534493410832
pooled,8,1000,1729,0.8679162256341948,0.8773869510382681
pooled,9,1000,1729,0.9759781678669517,0.9795552225076918
swe-agent,0,1000,1729,0.07121443906368245,0.08390594281042571
swe-agent,1,1000,1729,0.1745567449754198,0.1898632864607396
swe-agent,2,1000,1729,0.2795988144565811,0.29847696834142173
swe-agent,3,1000,1729,0.3798245697037366,0.39634204938233336
swe-agent,4,1000,1729,0.4809230830495988,0.4988704129607392
swe-agent,5,1000,1729,0.5780186352829993,0.5930153925899887
swe-agent,6,1000,1729,0.6719825253228175,0.6862148086896046
swe-agent,7,1000,1729,0.7763142420322239,0.7880811752564273
swe-agent,8,1000,1729,0.8689939069212801,0.8785627752337142
swe-agent,9,1000,1729,0.9770060135345492,0.9803420320161408
swe-agent x long,0,1000,1729,0.08482732591054916,0.10585985241701654
swe-agent x long,1,1000,1729,0.18664247571767037,0.21137784279824445
swe-agent x long,2,1000,1729,0.2579305919134766,0.28591132140906717
swe-agent x long,3,1000,1729,0.324135580751255,0.35323745565129244
swe-agent x long,4,1000,1729,0.4252510743440147,0.4495118983949362
swe-agent x long,5,1000,1729,0.46279475181209284,0.4878831713837362
swe-agent x long,6,1000,1729,0.5817867772355609,0.6040212672099556
swe-agent x long,7,1000,1729,0.6730978598411503,0.6929707049515962
swe-agent x long,8,1000,1729,0.786693521134376,0.8023715628837426
swe-agent x long,9,1000,1729,0.9671757254472886,0.9722184655396618
swe-agent x short,0,1000,1729,0.0547267040212426,0.06414806163245138
swe-agent x short,1,1000,1729,0.1446695840841393,0.15989268702206486
swe-agent x short,2,1000,1729,0.4432335905126033,0.46717560762491667
swe-agent x short,3,1000,1729,0.6343056373993321,0.6568675767581686
swe-agent x short,4,1000,1729,0.7618722396758184,0.7889148737137511
swe-agent x short,5,1000,1729,0.9465740649847846,0.9559229334990678
swe-agent x short,6,1000,1729,0.9561580345535731,0.9638407442272551
swe-agent x short,7,1000,1729,0.9997974649361171,1.0
swe-agent x short,8,1000,1729,0.9998935049875164,1.0
swe-agent x short,9,1000,1729,1.0,1.0
swe-agent x medium,0,1000,1729,0.04047556362326271,0.04565989917633123
swe-agent x medium,1,1000,1729,0.1462078157685259,0.15706148433573464
swe-agent x medium,2,1000,1729,0.2526393044656467,0.26611258462039317
