step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,1.0,4.0,0.25,1,4
5,1.0,5.0,0.2,1,5
6,2.0,6.0,0.3333333333333333,2,6
7,2.0,7.0,0.2857142857142857,2,7
8,3.0,8.0,0.375,3,8
9,3.0,9.0,0.3333333333333333,3,9
10,3.0,10.0,0.3,3,10
11,3.0,11.0,0.2727272727272727,3,11
12,3.0,12.0,0.25,3,12
13,4.0,13.0,0.3076923076923077,4,13
14,4.0,14.0,0.2857142857142857,4,14
15,5.0,15.0,0.3333333333333333,5,15
16,5.0,16.0,0.3125,5,16
17,6.0,17.0,0.35294117647058826,6,17
18,6.0,18.0,0.3333333333333333,6,18
19,6.0,19.0,0.3157894736842105,6,19
20,7.0,20.0,0.35,7,20
21,7.0,21.0,0.3333333333333333,7,21
22,7.0,22.0,0.3181818181818182,7,22
23,7.0,23.0,0.30434782608695654,7,23
24,7.0,24.0,0.2916666666666667,7,24
25,6.0,25.0,0.24,6,25
