step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,4.0,8.0,0.5,4,8
9,4.0,9.0,0.4444444444444444,4,9
10,5.0,10.0,0.5,5,10
11,5.0,11.0,0.45454545454545453,5,11
12,5.0,12.0,0.4166666666666667,5,12
13,5.0,13.0,0.38461538461538464,5,13
14,5.0,14.0,0.35714285714285715,5,14
15,6.0,15.0,0.4,6,15
16,6.0,16.0,0.375,6,16
17,7.0,17.0,0.4117647058823529,7,17
18,7.0,18.0,0.3888888888888889,7,18
19,8.0,19.0,0.42105263157894735,8,19
20,8.0,20.0,0.4,8,20
21,9.0,21.0,0.42857142857142855,9,21
22,10.0,22.0,0.45454545454545453,10,22
