source,task_id,title,category,difficulty,tags,expected_runtime_bucket,expected_validation_visibility,expected_file_edit_complexity,expected_environment_complexity,expected_failure_modes,oracle_test_leakage_risk,docker_feasibility,requires_internet,large_download_or_build,trajectory_richness,operational_risk,pilot_priority,selected_for_pilot,selection_reason,calibration_notes,environment_compatibility_score,process_richness_score,visible_validation_failure_likelihood,hidden_verifier_disagreement_likelihood,v10_priority,v10_setup_status,v10_selected,v10_prepilot_selected,v10_selection_reason
terminal_bench_hf,grid-pattern-transform,Transform grid pattern files and validate exact output,data-transform,medium,files|pattern-matching,3,4,3,2,3,1,5,False,False,22,3,19,True,selected by balanced priority ranking,local HF smoke oracle passed,5,5,3,5,37,v9_compatible,True,True,prepilot|process_rich|visible_validation_candidate|hidden_disagreement_candidate
terminal_bench_hf,broken-python,Repair a broken Python project until tests pass,python,easy,debugging|pytest,2,5,3,2,3,1,5,False,False,23,3,20,True,selected by balanced priority ranking,local extracted task with direct pytest signal,5,4,4,1,34,v9_compatible,True,True,prepilot|process_rich|visible_validation_candidate
terminal_bench_hf,extract-safely,Implement safe archive extraction behavior,security,medium,archive|path-traversal|filesystem,3,5,4,3,4,2,4,False,False,28,7,21,False,selected by balanced priority ranking,local extracted task with rich failure modes,5,2,2,2,32,v9_compatible,True,False,selected
terminal_bench_hf,attention-mil,Complete Attention MIL forward pass in PyTorch,model-training,medium,pytorch|numerics,4,3,4,4,3,1,3,False,True,24,7,17,True,selected by balanced priority ranking,source sample row; dependency/build risk,5,4,2,3,31,v9_compatible,True,True,prepilot|process_rich|hidden_disagreement_candidate
terminal_bench_hf,csv-to-parquet,Convert CSV data to parquet with dependency handling,data-processing,medium,csv|parquet|dependencies,3,4,3,3,3,1,4,False,True,23,6,17,True,selected by balanced priority ranking,local extracted task includes task dependencies,5,5,1,3,31,v9_compatible,True,True,prepilot|process_rich|hidden_disagreement_candidate
terminal_bench_hf,fix-permissions,Fix permission-related execution failures,systems,easy,permissions|shell,2,4,2,3,3,1,5,False,False,21,3,18,False,selected by balanced priority ranking,local extracted task with environment signal,5,5,2,1,31,v9_compatible,True,False,process_rich
terminal_bench_hf,aimo-airline-departures,Solve modular arithmetic airline departure scheduling problem,mathematics,hard,number-theory|scheduling,3,3,2,1,4,1,5,False,False,20,3,17,False,selected by balanced priority ranking,local HF oracle passed and no-op failed cleanly,5,4,1,2,29,v9_compatible,True,False,process_rich
terminal_bench_hf,create-bucket,Create bucket-shaped filesystem output,systems,medium,filesystem|cli,2,3,2,2,2,1,5,False,False,16,3,13,False,reserve candidate,local extracted task with concrete output files,4,2,1,2,22,reserve_unproven,True,False,selected
terminal_bench_hf,hello-world,Write a simple hello world task output,systems,easy,bash,1,2,1,1,1,1,5,False,False,9,3,6,False,reserve candidate,local HF smoke oracle passed,4,2,1,1,14,reserve_unproven,True,False,selected
terminal_bench_hf,count-dataset-tokens,Count dataset tokens with deterministic output,data-processing,medium,datasets|tokenization,3,3,3,2,3,1,4,False,False,20,4,16,False,selected by balanced priority ranking,local extracted task with moderate runtime,5,5,3,5,34,v9_compatible,False,False,exclude_solve_time_data_or_network_mismatch
terminal_bench_hf,classifier-debug,Debug classifier behavior until tests pass,debugging,medium,debugging|python|pytest,3,5,3,2,4,1,5,False,False,26,3,23,False,selected by balanced priority ranking,HF replacement candidate with direct validation signal,0,4,4,2,33,exclude_prebuild_required,False,False,exclude_prebuild_required
terminal_bench_hf,adaptive-rejection-sampler,Implement adaptive rejection sampler with formal tests,scientific-computing,medium,statistics|simulation|R,4,4,4,3,4,1,3,False,False,27,5,22,False,selected by balanced priority ranking,source sample row; needs extraction before K,0,4,1,2,29,exclude_hidden_artifact_risk,False,False,exclude_hidden_artifact_risk
terminal_bench_hf,blind-maze-explorer-algorithm,Implement a blind maze exploration algorithm,software-engineering,medium,maze|algorithm|python,4,4,4,2,4,1,4,False,False,26,4,22,False,selected by balanced priority ranking,HF replacement candidate for strict archive pilot; richer trajectory than Harbor contingency,0,4,1,2,29,exclude_hidden_artifact_risk,False,False,exclude_hidden_artifact_risk
terminal_bench_hf,nginx-request-logging,Configure request logging and validate log output,text-processing,medium,nginx|logs|configuration,3,4,3,3,4,1,4,False,False,25,4,21,False,selected by balanced priority ranking,HF replacement candidate for regex/log Harbor contingency,0,4,1,2,28,exclude_prebuild_required,False,False,exclude_prebuild_required
terminal_bench_harbor,terminal-bench/query-optimize,Optimize query logic with verifier feedback,data-processing,hard,query|optimization,4,3,4,3,4,2,2,False,False,25,9,16,False,reserve candidate,Harbor registry candidate retained as reserve if HF archive unavailable,3,4,1,2,26,reserve_unproven,False,False,reserve_not_targeted_for_v10
terminal_bench_harbor,terminal-bench/fix-git,Repair git workflow state,systems,medium,git|workflow,3,3,3,3,3,2,2,False,False,21,9,12,False,reserve candidate,Harbor registry candidate retained as reserve if HF archive unavailable,3,3,1,2,21,reserve_unproven,False,False,reserve_not_targeted_for_v10
terminal_bench_harbor,terminal-bench/regex-log,Parse logs with regular expressions and validate output,text-processing,medium,regex|logs,2,4,2,1,3,2,2,False,False,19,9,10,False,reserve candidate,Harbor registry candidate retained as reserve if HF archive unavailable,3,3,1,2,19,reserve_unproven,False,False,reserve_not_targeted_for_v10
