source,task_id,title,category,difficulty,tags,expected_runtime_bucket,expected_validation_visibility,expected_file_edit_complexity,expected_environment_complexity,expected_failure_modes,oracle_test_leakage_risk,docker_feasibility,requires_internet,large_download_or_build,calibration_notes
terminal_bench_hf,hello-world,Write a simple hello world task output,systems,easy,bash,1,2,1,1,1,1,5,false,false,local HF smoke oracle passed
terminal_bench_hf,grid-pattern-transform,Transform grid pattern files and validate exact output,data-transform,medium,files|pattern-matching,3,4,3,2,3,1,5,false,false,local HF smoke oracle passed
terminal_bench_hf,aimo-airline-departures,Solve modular arithmetic airline departure scheduling problem,mathematics,hard,number-theory|scheduling,3,3,2,1,4,1,5,false,false,local HF oracle passed and no-op failed cleanly
terminal_bench_hf,broken-python,Repair a broken Python project until tests pass,python,easy,debugging|pytest,2,5,3,2,3,1,5,false,false,local extracted task with direct pytest signal
terminal_bench_hf,count-dataset-tokens,Count dataset tokens with deterministic output,data-processing,medium,datasets|tokenization,3,3,3,2,3,1,4,false,false,local extracted task with moderate runtime
terminal_bench_hf,create-bucket,Create bucket-shaped filesystem output,systems,medium,filesystem|cli,2,3,2,2,2,1,5,false,false,local extracted task with concrete output files
terminal_bench_hf,csv-to-parquet,Convert CSV data to parquet with dependency handling,data-processing,medium,csv|parquet|dependencies,3,4,3,3,3,1,4,false,true,local extracted task includes task dependencies
terminal_bench_hf,extract-safely,Implement safe archive extraction behavior,security,medium,archive|path-traversal|filesystem,3,5,4,3,4,2,4,false,false,local extracted task with rich failure modes
terminal_bench_hf,fix-permissions,Fix permission-related execution failures,systems,easy,permissions|shell,2,4,2,3,3,1,5,false,false,local extracted task with environment signal
terminal_bench_hf,adaptive-rejection-sampler,Implement adaptive rejection sampler with formal tests,scientific-computing,medium,statistics|simulation|R,4,4,4,3,4,1,3,false,false,source sample row; needs extraction before K
terminal_bench_hf,attention-mil,Complete Attention MIL forward pass in PyTorch,model-training,medium,pytorch|numerics,4,3,4,4,3,1,3,false,true,source sample row; dependency/build risk
terminal_bench_harbor,terminal-bench/regex-log,Parse logs with regular expressions and validate output,text-processing,medium,regex|logs,2,4,2,1,3,2,2,false,false,Harbor registry candidate retained as reserve if HF archive unavailable
terminal_bench_harbor,terminal-bench/fix-git,Repair git workflow state,systems,medium,git|workflow,3,3,3,3,3,2,2,false,false,Harbor registry candidate retained as reserve if HF archive unavailable
terminal_bench_harbor,terminal-bench/query-optimize,Optimize query logic with verifier feedback,data-processing,hard,query|optimization,4,3,4,3,4,2,2,false,false,Harbor registry candidate retained as reserve if HF archive unavailable
terminal_bench_hf,blind-maze-explorer-algorithm,Implement a blind maze exploration algorithm,software-engineering,medium,maze|algorithm|python,4,4,4,2,4,1,4,false,false,HF replacement candidate for strict archive pilot; richer trajectory than Harbor contingency
terminal_bench_hf,classifier-debug,Debug classifier behavior until tests pass,debugging,medium,debugging|python|pytest,3,5,3,2,4,1,5,false,false,HF replacement candidate with direct validation signal
terminal_bench_hf,nginx-request-logging,Configure request logging and validate log output,text-processing,medium,nginx|logs|configuration,3,4,3,3,4,1,4,false,false,HF replacement candidate for regex/log Harbor contingency
