source,task_id,title,category,difficulty,tags,expected_runtime_bucket,expected_validation_visibility,expected_file_edit_complexity,expected_environment_complexity,expected_failure_modes,oracle_test_leakage_risk,docker_feasibility,requires_internet,large_download_or_build,trajectory_richness,operational_risk,pilot_priority,selected_for_pilot,selection_reason,calibration_notes,environment_compatibility_score,process_richness_score,visible_validation_failure_likelihood,hidden_verifier_disagreement_likelihood,v10_priority,v10_setup_status,v10_selected,v10_prepilot_selected,v10_selection_reason,m1_attempted,m1_eligible,m1_rejected,m1_terminal_success,m1_terminal_failure,m1_validation_attempt_runs,m1_validation_fail_runs,m1_validation_pass_hidden_fail_runs,m1_agent_did_not_run_check_failures,m1_verifier_disagreement_runs,m1_missed_failure_like_shell_runs,visible_validation_loop_score,visible_validation_loop_score_reasons,hidden_verifier_disagreement_likelihood_m1,setup_failure_risk_m1,m1b_selected,m1b_role,m1b_selection_reason
terminal_bench_hf,broken-python,Repair a broken Python project until tests pass,python,easy,debugging|pytest,2,5,3,2,3,1,5,False,False,23,3,20,True,selected by balanced priority ranking,local extracted task with direct pytest signal,5,5,5,1,36,v9_compatible,True,True,prepilot|process_rich|visible_validation_candidate,3,2,1,2,0,2,1,0,0,0,0,7,+2_visible_check_obvious|+2_m1_visible_check_failed|+2_actionable_failure_likely|+1_multiple_attempt_or_mixed_outcome,1,3,True,m1b_preflight_target,target_visible_validation_loop_or_mixed_failure_signal
terminal_bench_hf,fix-permissions,Fix permission-related execution failures,systems,easy,permissions|shell,2,4,2,3,3,1,5,False,False,21,3,18,True,selected by balanced priority ranking,local extracted task with environment signal,5,5,2,1,31,v9_compatible,True,False,process_rich,3,3,0,3,0,3,0,0,0,0,0,5,+2_visible_check_obvious|+2_actionable_failure_likely|+1_multiple_attempt_or_mixed_outcome,1,0,True,m1b_control_or_reserve,retain_as_clean_or_mixed_control_after_preflight_targets
terminal_bench_hf,attention-mil,Complete Attention MIL forward pass in PyTorch,model-training,medium,pytorch|numerics,4,3,4,4,3,1,3,False,True,24,7,17,True,selected by balanced priority ranking,source sample row; dependency/build risk,5,4,2,3,31,v9_compatible,True,True,prepilot|process_rich|hidden_disagreement_candidate,3,3,0,1,2,2,0,1,1,1,0,2,+2_actionable_failure_likely|+1_visible_pass_hidden_fail_observed|+1_multiple_attempt_or_mixed_outcome|-2_hidden_verifier_only_pattern,3,0,True,m1b_preflight_target,target_visible_validation_loop_or_mixed_failure_signal
terminal_bench_hf,extract-safely,Implement safe archive extraction behavior,security,medium,archive|path-traversal|filesystem,3,5,4,3,4,2,4,False,False,28,7,21,True,selected by balanced priority ranking,local extracted task with rich failure modes,5,2,2,2,32,v9_compatible,True,False,selected,3,3,0,3,0,3,0,0,0,0,0,2,+2_visible_check_obvious,2,0,True,m1b_control_or_reserve,retain_as_clean_or_mixed_control_after_preflight_targets
terminal_bench_hf,grid-pattern-transform,Transform grid pattern files and validate exact output,data-transform,medium,files|pattern-matching,3,4,3,2,3,1,5,False,False,22,3,19,True,selected by balanced priority ranking,local HF smoke oracle passed,5,5,3,5,37,v9_compatible,True,True,prepilot|process_rich|visible_validation_candidate|hidden_disagreement_candidate,3,3,0,2,1,3,0,1,0,1,0,2,+2_visible_check_obvious|+1_visible_pass_hidden_fail_observed|+1_multiple_attempt_or_mixed_outcome|-2_hidden_verifier_only_pattern,5,0,True,m1b_preflight_target,target_visible_validation_loop_or_mixed_failure_signal
terminal_bench_hf,csv-to-parquet,Convert CSV data to parquet with dependency handling,data-processing,medium,csv|parquet|dependencies,3,4,3,3,3,1,4,False,True,23,6,17,True,selected by balanced priority ranking,local extracted task includes task dependencies,5,5,1,3,31,v9_compatible,True,True,prepilot|process_rich|hidden_disagreement_candidate,3,3,0,0,3,1,0,1,2,1,0,1,+2_visible_check_obvious|+1_visible_pass_hidden_fail_observed|-2_hidden_verifier_only_pattern,3,0,True,m1b_preflight_target,target_visible_validation_loop_or_mixed_failure_signal
terminal_bench_hf,aimo-airline-departures,Solve modular arithmetic airline departure scheduling problem,mathematics,hard,number-theory|scheduling,3,3,2,1,4,1,5,False,False,20,3,17,True,selected by balanced priority ranking,local HF oracle passed and no-op failed cleanly,5,4,1,2,29,v9_compatible,True,False,process_rich,3,3,0,2,1,0,0,0,1,1,0,-4,+1_multiple_attempt_or_mixed_outcome|-3_no_visible_validation_route_observed|-2_hidden_verifier_only_pattern,2,0,True,m1b_control_or_reserve,retain_as_clean_or_mixed_control_after_preflight_targets
terminal_bench_hf,classifier-debug,Debug classifier behavior until tests pass,debugging,medium,debugging|python|pytest,3,5,3,2,4,1,5,False,False,26,3,23,True,selected by balanced priority ranking,HF replacement candidate with direct validation signal,0,4,4,2,33,exclude_prebuild_required,False,False,exclude_prebuild_required,3,0,3,0,0,0,0,0,0,0,0,2,+2_visible_check_obvious|+1_prior_visible_failure_likely|+2_actionable_failure_likely|-3_setup_preflight_failures,2,5,False,excluded,exclude_no_eligible_m1_setup_failures
terminal_bench_hf,create-bucket,Create bucket-shaped filesystem output,systems,medium,filesystem|cli,2,3,2,2,2,1,5,False,False,16,3,13,False,reserve candidate,local extracted task with concrete output files,4,2,1,2,22,reserve_unproven,True,False,selected,0,0,0,0,0,0,0,0,0,0,0,2,+2_actionable_failure_likely,2,1,False,not_selected,not_prioritized_for_m1b_visible_validation_loop
terminal_bench_hf,hello-world,Write a simple hello world task output,systems,easy,bash,1,2,1,1,1,1,5,False,False,9,3,6,False,reserve candidate,local HF smoke oracle passed,4,2,1,1,14,reserve_unproven,True,False,selected,0,0,0,0,0,0,0,0,0,0,0,2,+2_actionable_failure_likely,1,1,False,not_selected,not_prioritized_for_m1b_visible_validation_loop
