model,arm,deadline_s,first_token_by_deadline,request_completed_by_deadline,requests
Qwen/Qwen3.8-27B,replay,5,0,0,8
Qwen/Qwen3.8-27B,replay,10,0,0,8
Qwen/Qwen3.8-27B,replay,20,0,0,8
Qwen/Qwen3.8-27B,replay,30,0,0,8
Qwen/Qwen3.8-27B,replay,60,0,0,8
Qwen/Qwen3.8-27B,replay,90,0,0,8
Qwen/Qwen3.8-27B,replay,120,2,0,8
Qwen/Qwen3.8-27B,replay,240,8,4,8
Qwen/Qwen3.8-27B,replay,300,8,8,8
Qwen/Qwen3.8-27B,kv,5,0,0,8
Qwen/Qwen3.8-27B,kv,10,0,0,8
Qwen/Qwen3.8-27B,kv,20,0,0,8
Qwen/Qwen3.8-27B,kv,30,0,0,8
Qwen/Qwen3.8-27B,kv,60,0,0,8
Qwen/Qwen3.8-27B,kv,90,1,0,8
Qwen/Qwen3.8-27B,kv,120,6,0,8
Qwen/Qwen3.8-27B,kv,240,8,8,8
Qwen/Qwen3.8-27B,kv,300,8,8,8
Qwen/Qwen3.8-27B,mixed,5,0,0,8
Qwen/Qwen3.8-27B,mixed,10,0,0,8
Qwen/Qwen3.8-27B,mixed,20,0,0,8
Qwen/Qwen3.8-27B,mixed,30,0,0,8
Qwen/Qwen3.8-27B,mixed,60,0,0,8
Qwen/Qwen3.8-27B,mixed,90,1,0,8
Qwen/Qwen3.8-27B,mixed,120,4,0,8
Qwen/Qwen3.8-27B,mixed,240,8,8,8
Qwen/Qwen3.8-27B,mixed,300,8,8,8
openai/gpt-oss-20b,replay,5,0,0,8
openai/gpt-oss-20b,replay,10,0,0,8
openai/gpt-oss-20b,replay,20,0,0,8
openai/gpt-oss-20b,replay,30,0,0,8
openai/gpt-oss-20b,replay,60,1,0,8
openai/gpt-oss-20b,replay,90,4,0,8
openai/gpt-oss-20b,replay,120,8,0,8
openai/gpt-oss-20b,replay,240,8,8,8
openai/gpt-oss-20b,replay,300,8,8,8
openai/gpt-oss-20b,kv,5,0,0,8
openai/gpt-oss-20b,kv,10,0,0,8
openai/gpt-oss-20b,kv,20,0,0,8
openai/gpt-oss-20b,kv,30,0,0,8
openai/gpt-oss-20b,kv,60,0,0,8
openai/gpt-oss-20b,kv,90,8,1,8
openai/gpt-oss-20b,kv,120,8,5,8
openai/gpt-oss-20b,kv,240,8,8,8
openai/gpt-oss-20b,kv,300,8,8,8
openai/gpt-oss-20b,mixed,5,0,0,8
openai/gpt-oss-20b,mixed,10,0,0,8
openai/gpt-oss-20b,mixed,20,0,0,8
openai/gpt-oss-20b,mixed,30,0,0,8
openai/gpt-oss-20b,mixed,60,1,0,8
openai/gpt-oss-20b,mixed,90,5,0,8
openai/gpt-oss-20b,mixed,120,8,3,8
openai/gpt-oss-20b,mixed,240,8,8,8
openai/gpt-oss-20b,mixed,300,8,8,8
google/gemma-4-26B-A4B-it,replay,5,5,0,8
google/gemma-4-26B-A4B-it,replay,10,7,0,8
google/gemma-4-26B-A4B-it,replay,20,8,8,8
google/gemma-4-26B-A4B-it,replay,30,8,8,8
google/gemma-4-26B-A4B-it,replay,60,8,8,8
google/gemma-4-26B-A4B-it,replay,90,8,8,8
google/gemma-4-26B-A4B-it,replay,120,8,8,8
google/gemma-4-26B-A4B-it,replay,240,8,8,8
google/gemma-4-26B-A4B-it,replay,300,8,8,8
google/gemma-4-26B-A4B-it,kv,5,2,0,8
google/gemma-4-26B-A4B-it,kv,10,6,2,8
google/gemma-4-26B-A4B-it,kv,20,8,8,8
google/gemma-4-26B-A4B-it,kv,30,8,8,8
google/gemma-4-26B-A4B-it,kv,60,8,8,8
google/gemma-4-26B-A4B-it,kv,90,8,8,8
google/gemma-4-26B-A4B-it,kv,120,8,8,8
google/gemma-4-26B-A4B-it,kv,240,8,8,8
google/gemma-4-26B-A4B-it,kv,300,8,8,8
google/gemma-4-26B-A4B-it,mixed,5,6,0,8
google/gemma-4-26B-A4B-it,mixed,10,7,2,8
google/gemma-4-26B-A4B-it,mixed,20,8,8,8
google/gemma-4-26B-A4B-it,mixed,30,8,8,8
google/gemma-4-26B-A4B-it,mixed,60,8,8,8
google/gemma-4-26B-A4B-it,mixed,90,8,8,8
google/gemma-4-26B-A4B-it,mixed,120,8,8,8
google/gemma-4-26B-A4B-it,mixed,240,8,8,8
google/gemma-4-26B-A4B-it,mixed,300,8,8,8
