variant,claim,bin,n,mean_predicted_p,observed_rate,mean_bias
eb_filter,finish_within_16_work_units,6,24374,0.655338344200346,0.6225896447033724,0.032748699496973524
eb_filter,finish_within_16_work_units,7,64647,0.7599659837604481,0.725277275047566,0.034688708712882044
eb_filter,finish_within_16_work_units,8,337353,0.8579562163186109,0.8305750949302363,0.027381121388374525
eb_filter,finish_within_16_work_units,9,463676,0.9707646056890294,0.925616163010378,0.045148442678651556
eb_filter,finish_within_32_work_units,3,6,0.38981449188807477,0.6666666666666666,-0.2768521747785919
eb_filter,finish_within_32_work_units,4,458,0.46511621460083363,0.5960698689956332,-0.13095365439479953
eb_filter,finish_within_32_work_units,5,2268,0.5556594677289566,0.6067019400352733,-0.05104247230631674
eb_filter,finish_within_32_work_units,6,5722,0.6562836764581368,0.6705697308633345,-0.014286054405197762
eb_filter,finish_within_32_work_units,7,12950,0.7571737238547374,0.701003861003861,0.05616986285087632
eb_filter,finish_within_32_work_units,8,32378,0.8602431044433908,0.8191055655074433,0.041137538935947494
eb_filter,finish_within_32_work_units,9,863557,0.9796351338338961,0.9582876405379147,0.02134749329598145
eb_filter,finish_within_8_work_units,0,541,0.06638462611902737,0.2643253234750462,-0.19794069735601885
eb_filter,finish_within_8_work_units,1,3225,0.16090136930303486,0.21457364341085272,-0.05367227410781786
eb_filter,finish_within_8_work_units,2,11127,0.25567968446972344,0.26494113417812526,-0.009261449708401853
eb_filter,finish_within_8_work_units,3,20685,0.35333612849642654,0.32090887116267824,0.03242725733374825
eb_filter,finish_within_8_work_units,4,36848,0.4543169740900163,0.45522145028224054,-0.0009044761922242204
eb_filter,finish_within_8_work_units,5,68764,0.5586113410524507,0.529375836193357,0.02923550485909368
eb_filter,finish_within_8_work_units,6,176592,0.6432923498894415,0.6087365226057806,0.03455582728366097
eb_filter,finish_within_8_work_units,7,236814,0.7528030826978237,0.7286477995388786,0.024155283158945114
eb_filter,finish_within_8_work_units,8,125649,0.8469000581501921,0.7703841654131748,0.07651589273701732
eb_filter,finish_within_8_work_units,9,237094,0.9752816059486525,0.9409896496748125,0.03429195627384005
eb_filter,remaining_le_25pct,0,223188,0.03701880162833405,0.05690270086205351,-0.019883899233719467
eb_filter,remaining_le_25pct,1,105681,0.15030210952266962,0.17156347877101844,-0.02126136924834881
eb_filter,remaining_le_25pct,2,109532,0.250189444159304,0.27537158090786257,-0.025182136748558542
eb_filter,remaining_le_25pct,3,96033,0.3466614300275233,0.3689981568835713,-0.022336726856047956
eb_filter,remaining_le_25pct,4,71391,0.44863731102691956,0.4383745850317267,0.010262725995192892
eb_filter,remaining_le_25pct,5,58505,0.5481183656066592,0.4987266045637125,0.0493917610429467
eb_filter,remaining_le_25pct,6,43675,0.6484031319175405,0.5643961076130509,0.08400702430448952
eb_filter,remaining_le_25pct,7,39459,0.749890957165906,0.6782483083707139,0.07164264879519214
eb_filter,remaining_le_25pct,8,39956,0.8525781688488232,0.8284362799078987,0.024141888940924516
eb_filter,remaining_le_25pct,9,129919,0.9730889510483708,0.969765777138063,0.003323173910307853
eb_filter,remaining_le_50pct,0,96767,0.036346792800669867,0.04007564562299131,-0.00372885282232144
eb_filter,remaining_le_50pct,1,70596,0.13383259410176424,0.15934330556972065,-0.025510711467956432
eb_filter,remaining_le_50pct,2,59185,0.2534456691612986,0.2758469206724677,-0.02240125151116907
eb_filter,remaining_le_50pct,3,53265,0.34913050050012884,0.3718389186144748,-0.022708418114345968
eb_filter,remaining_le_50pct,4,49425,0.44823535349380744,0.45968639352554375,-0.011451040031736338
eb_filter,remaining_le_50pct,5,80534,0.5524888105808654,0.5564357910944446,-0.0039469805135792
eb_filter,remaining_le_50pct,6,89223,0.6473771765341073,0.6311825426179348,0.016194633916172443
eb_filter,remaining_le_50pct,7,71722,0.7503949078936135,0.6898162349070021,0.06057867298661148
eb_filter,remaining_le_50pct,8,87693,0.8521225985183958,0.7687614746901121,0.08336112382828363
eb_filter,remaining_le_50pct,9,258929,0.9735891305775823,0.9273159823735464,0.046273148204035976
eb_gbm_mixed_filter,finish_within_16_work_units,0,3,0.06278113129720919,0.6666666666666666,-0.6038855353694575
eb_gbm_mixed_filter,finish_within_16_work_units,1,34,0.17908713386834316,0.5,-0.3209128661316568
eb_gbm_mixed_filter,finish_within_16_work_units,2,480,0.2686265222277733,0.4,-0.13137347777222672
eb_gbm_mixed_filter,finish_within_16_work_units,3,3576,0.3625360824888902,0.37919463087248323,-0.01665854838359302
eb_gbm_mixed_filter,finish_within_16_work_units,4,7959,0.45604223050422055,0.42103279306445535,0.035009437439765194
eb_gbm_mixed_filter,finish_within_16_work_units,5,14325,0.5536955944519473,0.47406631762652707,0.07962927682542024
eb_gbm_mixed_filter,finish_within_16_work_units,6,24098,0.6550011358917658,0.6127064486679392,0.04229468722382652
eb_gbm_mixed_filter,finish_within_16_work_units,7,63543,0.7599183035425613,0.7239349731677761,0.035983330374785114
eb_gbm_mixed_filter,finish_within_16_work_units,8,334451,0.8566002366798677,0.8287372440207983,0.027862992659069497
eb_gbm_mixed_filter,finish_within_16_work_units,9,468870,0.9709677987390944,0.9258067268112696,0.0451610719278248
eb_gbm_mixed_filter,finish_within_32_work_units,3,1,0.3856278164061671,1.0,-0.6143721835938329
eb_gbm_mixed_filter,finish_within_32_work_units,4,329,0.4778815519649245,0.601823708206687,-0.12394215624176247
eb_gbm_mixed_filter,finish_within_32_work_units,5,2009,0.560994462044345,0.5963165754106521,-0.035322113366307056
eb_gbm_mixed_filter,finish_within_32_work_units,6,5156,0.6567950937665075,0.6458494957331264,0.010945598033381035
eb_gbm_mixed_filter,finish_within_32_work_units,7,12740,0.7566385323062359,0.6930926216640503,0.06354591064218566
eb_gbm_mixed_filter,finish_within_32_work_units,8,31561,0.8595583452159655,0.8126485219099522,0.04690982330601335
eb_gbm_mixed_filter,finish_within_32_work_units,9,865543,0.9818943933859916,0.9582655050066836,0.023628888379307985
eb_gbm_mixed_filter,finish_within_8_work_units,0,382,0.06412625859573926,0.2696335078534031,-0.20550724925766387
eb_gbm_mixed_filter,finish_within_8_work_units,1,2761,0.16568248829702698,0.21296631655197393,-0.04728382825494694
eb_gbm_mixed_filter,finish_within_8_work_units,2,10246,0.25821186657862877,0.2554167479992192,0.002795118579409555
eb_gbm_mixed_filter,finish_within_8_work_units,3,20602,0.35309349812955526,0.3094845160664013,0.04360898206315394
eb_gbm_mixed_filter,finish_within_8_work_units,4,36072,0.4550691301806735,0.45331559104014196,0.0017535391405315603
eb_gbm_mixed_filter,finish_within_8_work_units,5,75966,0.5614323197547115,0.5347918805781534,0.02664043917655819
eb_gbm_mixed_filter,finish_within_8_work_units,6,176456,0.6429800903580989,0.6101294373668223,0.03285065299127651
eb_gbm_mixed_filter,finish_within_8_work_units,7,236359,0.7516253710225148,0.7292423812928638,0.022382989729650964
eb_gbm_mixed_filter,finish_within_8_work_units,8,121687,0.8463837576737984,0.7671485039486552,0.0792352537251432
eb_gbm_mixed_filter,finish_within_8_work_units,9,236808,0.9757074345712365,0.9438532482010743,0.03185418637016226
eb_gbm_mixed_filter,remaining_le_25pct,0,228216,0.03487972425444107,0.05930346689101553,-0.02442374263657445
eb_gbm_mixed_filter,remaining_le_25pct,1,103175,0.15072842357937014,0.17460625151441725,-0.023877827935047106
eb_gbm_mixed_filter,remaining_le_25pct,2,109502,0.24972468506493103,0.27846979963836277,-0.028745114573431735
eb_gbm_mixed_filter,remaining_le_25pct,3,99270,0.34723654253361386,0.3747758638057822,-0.027539321272168342
eb_gbm_mixed_filter,remaining_le_25pct,4,70120,0.44888942016072486,0.44021677124928693,0.00867264891143795
eb_gbm_mixed_filter,remaining_le_25pct,5,57842,0.5475115639905521,0.4995850765879465,0.0479264874026056
eb_gbm_mixed_filter,remaining_le_25pct,6,46098,0.6477286681733206,0.5856436287908369,0.06208503938248369
eb_gbm_mixed_filter,remaining_le_25pct,7,43393,0.747695828429179,0.7220288986702924,0.025666929758886615
eb_gbm_mixed_filter,remaining_le_25pct,8,33906,0.8509473098019356,0.8216539845455082,0.029293325256427354
eb_gbm_mixed_filter,remaining_le_25pct,9,125817,0.9683085466988376,0.9713313781126557,-0.003022831413818139
eb_gbm_mixed_filter,remaining_le_50pct,0,104285,0.03529188929901953,0.04625785108117179,-0.010965961782152256
eb_gbm_mixed_filter,remaining_le_50pct,1,61884,0.13557653710249082,0.16025143817464935,-0.024674901072158528
eb_gbm_mixed_filter,remaining_le_50pct,2,59904,0.2549597895652872,0.2763922275641026,-0.021432437998815345
eb_gbm_mixed_filter,remaining_le_50pct,3,54284,0.3496391465773954,0.3751565838921229,-0.025517437314727515
eb_gbm_mixed_filter,remaining_le_50pct,4,49814,0.4480614673933723,0.4578030272614125,-0.009741559868040112
eb_gbm_mixed_filter,remaining_le_50pct,5,81637,0.5527663961372249,0.5577250511410268,-0.004958655003801872
eb_gbm_mixed_filter,remaining_le_50pct,6,88422,0.6477244764114986,0.6306575286693357,0.017066947742162827
eb_gbm_mixed_filter,remaining_le_50pct,7,70792,0.7510120566699541,0.687605944174483,0.0634061124954711
eb_gbm_mixed_filter,remaining_le_50pct,8,91915,0.8539788325863507,0.7788173856280259,0.07516144695832479
eb_gbm_mixed_filter,remaining_le_50pct,9,254402,0.9745457431538487,0.9279840567291138,0.04656168642473491
gbm_direct,finish_within_16_work_units,1,192,0.15905893567232285,0.16666666666666666,-0.007607730994343827
gbm_direct,finish_within_16_work_units,2,231,0.2527655195144107,0.21212121212121213,0.04064430739319853
gbm_direct,finish_within_16_work_units,3,160,0.3440074634801915,0.275,0.06900746348019152
gbm_direct,finish_within_16_work_units,4,13624,0.4474142863442531,0.3522460364063417,0.09516824993791134
gbm_direct,finish_within_16_work_units,5,40106,0.5561031465331346,0.5440333117239315,0.012069834809203036
gbm_direct,finish_within_16_work_units,6,59426,0.6555263402894357,0.6523407262814256,0.003185614008010076
gbm_direct,finish_within_16_work_units,7,179806,0.7664532541950501,0.786102799684104,-0.019649545489053948
gbm_direct,finish_within_16_work_units,8,302105,0.8425927194515089,0.8670528458648483,-0.02446012641333934
gbm_direct,finish_within_16_work_units,9,322962,1.0,0.9762355942804417,0.02376440571955834
gbm_direct,finish_within_32_work_units,1,68,0.19024555457701925,0.35294117647058826,-0.16269562189356898
gbm_direct,finish_within_32_work_units,2,116,0.2310181698632437,0.1206896551724138,0.1103285146908299
gbm_direct,finish_within_32_work_units,3,106,0.35733746980628533,0.32075471698113206,0.036582752825153254
gbm_direct,finish_within_32_work_units,4,93,0.457431334198972,0.5913978494623656,-0.13396651526339362
gbm_direct,finish_within_32_work_units,5,1587,0.5849157947629482,0.5223692501575299,0.06254654460541824
gbm_direct,finish_within_32_work_units,6,10085,0.6436702980408374,0.5778879524045613,0.06578234563627615
gbm_direct,finish_within_32_work_units,7,29222,0.7655423012258952,0.7385531448908357,0.02698915633505955
gbm_direct,finish_within_32_work_units,8,70931,0.8526058877771762,0.8486134412316194,0.003992446545556675
gbm_direct,finish_within_32_work_units,9,806404,1.0,0.9679800695433058,0.032019930456694164
gbm_direct,finish_within_8_work_units,1,405,0.15270752825118908,0.07901234567901234,0.07369518257217673
gbm_direct,finish_within_8_work_units,2,19475,0.268535885526402,0.22182284980744543,0.04671303571895655
gbm_direct,finish_within_8_work_units,3,31163,0.3505115972179209,0.35323941854121876,-0.0027278213232978343
gbm_direct,finish_within_8_work_units,4,83487,0.45652133732968414,0.4602512966090529,-0.0037299592793687574
gbm_direct,finish_within_8_work_units,5,204606,0.5483513645453696,0.5936629424357057,-0.045311577890336144
gbm_direct,finish_within_8_work_units,6,144415,0.6450343483956655,0.698507772738289,-0.05347342434262338
gbm_direct,finish_within_8_work_units,7,180303,0.7552472236540498,0.7844129049433454,-0.029165681289295562
gbm_direct,finish_within_8_work_units,8,47376,0.8415244684323564,0.8798125633232016,-0.03828809489084525
gbm_direct,finish_within_8_work_units,9,207382,1.0,0.9862861771995641,0.01371382280043591
gbm_direct,remaining_le_25pct,0,298121,0.0,0.163373261192603,-0.163373261192603
gbm_direct,remaining_le_25pct,1,129609,0.13206154314286198,0.27019728568232143,-0.13813574253945948
gbm_direct,remaining_le_25pct,2,160358,0.2543442134950415,0.3253532720537797,-0.07100905855873818
gbm_direct,remaining_le_25pct,3,70474,0.3466008453287731,0.387391094588075,-0.0407902492593019
gbm_direct,remaining_le_25pct,4,46787,0.44940341976614107,0.4899437878043046,-0.040540368038163535
gbm_direct,remaining_le_25pct,5,61895,0.5292011465033888,0.6704095645851846,-0.14120841808179577
gbm_direct,remaining_le_25pct,6,15301,0.6417277336398625,0.7103457290373179,-0.06861799539745535
gbm_direct,remaining_le_25pct,7,15828,0.7588898047582152,0.8141268637856962,-0.055237059027481036
gbm_direct,remaining_le_25pct,8,11538,0.8434791599995332,0.8969492113017854,-0.0534700513022523
gbm_direct,remaining_le_25pct,9,108701,0.9998942052051036,0.9784822586728733,0.021411946532230348
gbm_direct,remaining_le_50pct,0,103365,0.0,0.05061674648091714,-0.05061674648091714
gbm_direct,remaining_le_50pct,1,70222,0.14362385329170166,0.17769360029620346,-0.03406974700450181
gbm_direct,remaining_le_50pct,2,54470,0.2556581700611528,0.271819350100973,-0.016161180039820214
gbm_direct,remaining_le_50pct,3,75678,0.35124377834367854,0.38055973995084436,-0.029315961607165854
gbm_direct,remaining_le_50pct,4,80548,0.45001411773359506,0.4944008541490788,-0.04438673641548376
gbm_direct,remaining_le_50pct,5,131618,0.5466651751787682,0.578788615538908,-0.032123440360139824
gbm_direct,remaining_le_50pct,6,83347,0.640510110659268,0.7703696593758623,-0.12985954871659441
gbm_direct,remaining_le_50pct,7,79991,0.7568871787261067,0.7914390368916503,-0.03455185816554368
gbm_direct,remaining_le_50pct,8,56221,0.8439790919383204,0.8699774105761192,-0.025998318637798813
gbm_direct,remaining_le_50pct,9,183152,1.0,0.9799619987769721,0.020038001223027867
