step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,0,2.0,0.0,0,2
3,1.0,3.0,0.3333333333333333,1,3
4,1.0,4.0,0.25,1,4
5,1.0,5.0,0.2,1,5
6,1.0,6.0,0.16666666666666666,1,6
7,2.0,7.0,0.2857142857142857,2,7
8,2.0,8.0,0.25,2,8
9,3.0,9.0,0.3333333333333333,3,9
10,3.0,10.0,0.3,3,10
11,3.0,11.0,0.2727272727272727,3,11
12,3.0,12.0,0.25,3,12
13,3.0,13.0,0.23076923076923078,3,13
14,4.0,14.0,0.2857142857142857,4,14
15,4.0,15.0,0.26666666666666666,4,15
16,5.0,16.0,0.3125,5,16
17,5.0,17.0,0.29411764705882354,5,17
18,6.0,18.0,0.3333333333333333,6,18
19,6.0,19.0,0.3157894736842105,6,19
20,7.0,20.0,0.35,7,20
21,7.0,21.0,0.3333333333333333,7,21
22,7.0,22.0,0.3181818181818182,7,22
23,7.0,23.0,0.30434782608695654,7,23
24,7.0,24.0,0.2916666666666667,7,24
25,7.0,25.0,0.28,7,25
26,7.0,26.0,0.2692307692307692,7,26
27,7.0,27.0,0.25925925925925924,7,27
28,8.0,28.0,0.2857142857142857,8,28
29,8.0,29.0,0.27586206896551724,8,29
30,8.0,30.0,0.26666666666666666,8,30
31,8.0,31.0,0.25806451612903225,8,31
32,7.0,32.0,0.21875,7,32
