policy,state_id,content_hash,state_layer,site,mode,tokens,bytes,cost_s,materialization_count,ideal_materialization_count,total_cost_s,num_consumers,consumer_node_ids,reason
request_level_no_reuse,system_prefix,hash_system_prefix_v1,prompt_context,seattle,context_replay,200,,0.00444444444,4,1,0.0177777778,4,"S1,S2,S3,S4",per_node_no_reuse
request_level_no_reuse,repo_context,hash_repo_context_v1,prompt_context,seattle,context_replay,8000,,0.177777778,4,1,0.711111111,4,"S1,S2,S3,S4",per_node_no_reuse
request_level_no_reuse,private_A,hash_private_A_v1,prompt_context,seattle,context_replay,1500,,0.0333333333,1,1,0.0333333333,1,S2,per_node_no_reuse
request_level_no_reuse,workspace_AC,hash_workspace_AC_v1,workspace,seattle,artifact_copy,0,4000000,0.00128,2,1,0.00256,2,"S2,S4",per_node_no_reuse
request_level_no_reuse,private_B,hash_private_B_v1,prompt_context,seattle,context_replay,12000,,0.266666667,1,1,0.266666667,1,S3,per_node_no_reuse
request_level_no_reuse,private_C,hash_private_C_v1,prompt_context,seattle,context_replay,2000,,0.0444444444,1,1,0.0444444444,1,S4,per_node_no_reuse
request_level_with_site_cache,system_prefix,hash_system_prefix_v1,prompt_context,seattle,context_replay,200,,0.00444444444,1,1,0.00444444444,4,"S1,S2,S3,S4",site_cache_reuse
request_level_with_site_cache,repo_context,hash_repo_context_v1,prompt_context,seattle,context_replay,8000,,0.177777778,1,1,0.177777778,4,"S1,S2,S3,S4",site_cache_reuse
request_level_with_site_cache,private_A,hash_private_A_v1,prompt_context,seattle,context_replay,1500,,0.0333333333,1,1,0.0333333333,1,S2,site_cache_reuse
request_level_with_site_cache,workspace_AC,hash_workspace_AC_v1,workspace,seattle,artifact_copy,0,4000000,0.00128,1,1,0.00128,2,"S2,S4",site_cache_reuse
request_level_with_site_cache,private_B,hash_private_B_v1,prompt_context,seattle,context_replay,12000,,0.266666667,1,1,0.266666667,1,S3,site_cache_reuse
request_level_with_site_cache,private_C,hash_private_C_v1,prompt_context,seattle,context_replay,2000,,0.0444444444,1,1,0.0444444444,1,S4,site_cache_reuse
shared_state_aware,private_A,hash_private_A_v1,prompt_context,seattle,context_replay,1500,,0.0333333333,1,1,0.0333333333,1,S2,shared_once_per_component_site
shared_state_aware,private_B,hash_private_B_v1,prompt_context,seattle,context_replay,12000,,0.266666667,1,1,0.266666667,1,S3,shared_once_per_component_site
shared_state_aware,private_C,hash_private_C_v1,prompt_context,seattle,context_replay,2000,,0.0444444444,1,1,0.0444444444,1,S4,shared_once_per_component_site
shared_state_aware,repo_context,hash_repo_context_v1,prompt_context,seattle,context_replay,8000,,0.177777778,1,1,0.177777778,4,"S1,S2,S3,S4",shared_once_per_component_site
shared_state_aware,system_prefix,hash_system_prefix_v1,prompt_context,seattle,context_replay,200,,0.00444444444,1,1,0.00444444444,4,"S1,S2,S3,S4",shared_once_per_component_site
shared_state_aware,workspace_AC,hash_workspace_AC_v1,workspace,seattle,artifact_copy,0,4000000,0.00128,1,1,0.00128,2,"S2,S4",shared_once_per_component_site
