deadline_s,kappa,mode,ordering,target_basis,target_kw,jobs,movers,cost_s,selected_node_kw,rebuild_node_kw,rebuild_over_target,miss_frac
10.0,0.7,sf,certified_pd,full_node_expected,9.21287680787458,74,58,173.81209986014767,2.632366772378027,2.597907076895671,0.2819865207222944,0.03448275862068961
10.0,0.8,sf,certified_pd,full_node_expected,9.21287680787458,74,61,195.16827029826047,2.635638445069288,2.5982633002034774,0.2820251865283434,0.06557377049180324
10.0,0.9,sf,certified_pd,full_node_expected,9.21287680787458,74,63,200.3802950775451,2.636344005526451,2.5989688606606407,0.2821017706911274,0.06349206349206349
10.0,1.0,sf,certified_pd,full_node_expected,9.21287680787458,74,63,200.3802950775451,2.636344005526451,2.5989688606606407,0.2821017706911274,0.06349206349206349
15.0,0.7,sf,certified_pd,full_node_expected,9.21287680787458,74,69,313.3554232186467,4.026926700661706,2.935009637201275,0.31857688954362395,0.02898550724637683
15.0,0.8,sf,certified_pd,full_node_expected,9.21287680787458,74,69,313.3554232186467,4.026926700661706,2.935009637201275,0.31857688954362395,0.02898550724637683
15.0,0.9,sf,certified_pd,full_node_expected,9.21287680787458,74,69,313.3554232186467,4.026926700661706,2.935009637201275,0.31857688954362395,0.02898550724637683
15.0,1.0,sf,certified_pd,full_node_expected,9.21287680787458,74,69,313.3554232186467,4.026926700661706,2.935009637201275,0.31857688954362395,0.02898550724637683
30.0,0.7,sf,certified_pd,full_node_expected,9.21287680787458,74,71,412.92208271264997,8.999563791120643,8.999563791120643,0.9768462097993528,0.0
30.0,0.8,sf,certified_pd,full_node_expected,9.21287680787458,74,71,412.92208271264997,8.999563791120643,8.999563791120643,0.9768462097993528,0.0
30.0,0.9,sf,certified_pd,full_node_expected,9.21287680787458,74,71,412.92208271264997,8.999563791120643,8.999563791120643,0.9768462097993528,0.0
30.0,1.0,sf,certified_pd,full_node_expected,9.21287680787458,74,71,412.92208271264997,8.999563791120643,8.999563791120643,0.9768462097993528,0.0
300.0,0.7,sf,certified_pd,full_node_expected,9.21287680787458,74,39,262.14114824079616,9.213782661439415,9.213782661439415,1.000098324723507,0.0
300.0,0.8,sf,certified_pd,full_node_expected,9.21287680787458,74,39,262.14114824079616,9.213782661439415,9.213782661439415,1.000098324723507,0.0
300.0,0.9,sf,certified_pd,full_node_expected,9.21287680787458,74,39,262.14114824079616,9.213782661439415,9.213782661439415,1.000098324723507,0.0
300.0,1.0,sf,certified_pd,full_node_expected,9.21287680787458,74,39,262.14114824079616,9.213782661439415,9.213782661439415,1.000098324723507,0.0
