agent_scaffold,arm,difficulty,end_wall_time,final_success,final_success_source,finish_seconds,finish_step,has_real_wallclock,ledger_event_count,ledger_path,model_name,notes,run_id,source,start_wall_time,task_family,task_id,termination_reason,timeout
general-purpose,A,hard,2026-05-05T08:10:44.909419+00:00,True,verifier_exit,74.786247,8,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364/ledger.jsonl,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__b235b364,tb_live_v2,2026-05-05T08:09:30.123172+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,verifier_pass,False
general-purpose,A,hard,2026-05-05T16:48:17.436695+00:00,True,verifier_exit,49.888906,6,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec/ledger.jsonl,claude-opus-4-7,,high_progress_failure_01_subtasks_done_verifier_strict__armA__f29facec,tb_live_v2,2026-05-05T16:47:27.547789+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,verifier_pass,False
general-purpose,B,hard,2026-05-05T16:48:51.476000+00:00,False,verifier_exit,83.549149,4,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armB__9309afec/ledger.jsonl,claude-sonnet-4-6,,high_progress_failure_01_subtasks_done_verifier_strict__armB__9309afec,tb_live_v2,2026-05-05T16:47:27.926851+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,verifier_fail,False
general-purpose,B,hard,2026-05-05T08:11:03+00:00,False,verifier_exit,82.50501,7,True,11,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d/ledger.jsonl,claude-sonnet-4-6,,high_progress_failure_01_subtasks_done_verifier_strict__armB__efb2347d,tb_live_v2,2026-05-05T08:09:40.494990+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,verifier_fail,False
general-purpose,C,hard,2026-05-05T16:48:53.643590+00:00,False,verifier_exit,84.10097,16,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208/ledger.jsonl,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,tb_live_v2,2026-05-05T16:47:29.542620+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,verifier_fail,False
general-purpose,C,hard,2026-05-05T08:10:41.432352+00:00,False,verifier_exit,68.830009,11,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd/ledger.jsonl,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,tb_live_v2,2026-05-05T08:09:32.602343+00:00,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict,no_done_record,False
general-purpose,A,hard,2026-05-05T08:22:25.823717+00:00,True,verifier_exit,63.44791,7,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armA__89405640/ledger.jsonl,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640,tb_live_v2,2026-05-05T08:21:22.375807+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_pass,False
general-purpose,A,hard,2026-05-05T16:48:32+00:00,True,verifier_exit,51.0,5,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armA__d83c4aa3/ledger.jsonl,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__d83c4aa3,tb_live_v2,2026-05-05T16:47:41+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_pass,False
general-purpose,B,hard,2026-05-05T08:22:10.803111+00:00,True,verifier_exit,45.125421,5,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armB__3db6b834/ledger.jsonl,claude-sonnet-4-6,,high_progress_failure_02_partial_solution_passes_smoke__armB__3db6b834,tb_live_v2,2026-05-05T08:21:25.677690+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_pass,False
general-purpose,B,hard,2026-05-05T16:48:45.701652+00:00,True,verifier_exit,74.772438,6,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388/ledger.jsonl,claude-sonnet-4-6,,high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388,tb_live_v2,2026-05-05T16:47:30.929214+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_pass,False
general-purpose,C,hard,2026-05-05T16:48:25.491094+00:00,False,verifier_exit,46.209052,10,True,11,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795/ledger.jsonl,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,tb_live_v2,2026-05-05T16:47:39.282042+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_fail,False
general-purpose,C,hard,2026-05-05T08:22:46.330441+00:00,True,verifier_exit,81.749976,15,True,11,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd/ledger.jsonl,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,tb_live_v2,2026-05-05T08:21:24.580465+00:00,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke,verifier_pass,False
general-purpose,A,hard,2026-05-05T16:47:33+00:00,True,verifier_exit,30.0,4,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_03_url_encode_strict__armA__2c3d20d3/ledger.jsonl,claude-opus-4-7,,high_progress_failure_03_url_encode_strict__armA__2c3d20d3,tb_live_v2,2026-05-05T16:47:03+00:00,high_progress_failure,high_progress_failure_03_url_encode_strict,verifier_pass,False
general-purpose,B,hard,2026-05-05T16:47:29.083779+00:00,True,verifier_exit,29.864386,3,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_03_url_encode_strict__armB__c8da3c6b/ledger.jsonl,claude-sonnet-4-6,,high_progress_failure_03_url_encode_strict__armB__c8da3c6b,tb_live_v2,2026-05-05T16:46:59.219393+00:00,high_progress_failure,high_progress_failure_03_url_encode_strict,verifier_pass,False
general-purpose,C,hard,2026-05-05T16:47:22.063061+00:00,True,verifier_exit,21.537316,5,True,7,/Users/grantwilkins/houdini/coding-estimator/runs/tb_live_v2/high_progress_failure_03_url_encode_strict__armC__b8f48a10/ledger.jsonl,claude-haiku-4-5,,high_progress_failure_03_url_encode_strict__armC__b8f48a10,tb_live_v2,2026-05-05T16:47:00.525745+00:00,high_progress_failure,high_progress_failure_03_url_encode_strict,verifier_pass,False
