step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,4.0,8.0,0.5,4,8
9,4.0,9.0,0.4444444444444444,4,9
10,5.0,10.0,0.5,5,10
11,5.0,11.0,0.45454545454545453,5,11
12,5.0,12.0,0.4166666666666667,5,12
13,6.0,13.0,0.46153846153846156,6,13
14,6.0,14.0,0.42857142857142855,6,14
15,7.0,15.0,0.4666666666666667,7,15
16,7.0,16.0,0.4375,7,16
17,7.0,17.0,0.4117647058823529,7,17
18,7.0,18.0,0.3888888888888889,7,18
19,8.0,19.0,0.42105263157894735,8,19
20,8.0,20.0,0.4,8,20
21,8.0,21.0,0.38095238095238093,8,21
22,8.0,22.0,0.36363636363636365,8,22
23,9.0,23.0,0.391304347826087,9,23
24,9.0,24.0,0.375,9,24
25,9.0,25.0,0.36,9,25
26,9.0,26.0,0.34615384615384615,9,26
27,10.0,27.0,0.37037037037037035,10,27
28,10.0,28.0,0.35714285714285715,10,28
29,11.0,29.0,0.3793103448275862,11,29
30,11.0,30.0,0.36666666666666664,11,30
31,11.0,31.0,0.3548387096774194,11,31
32,11.0,32.0,0.34375,11,32
33,11.0,33.0,0.3333333333333333,11,33
34,12.0,34.0,0.35294117647058826,12,34
35,12.0,35.0,0.34285714285714286,12,35
36,13.0,36.0,0.3611111111111111,13,36
37,13.0,37.0,0.35135135135135137,13,37
38,14.0,38.0,0.3684210526315789,14,38
39,14.0,39.0,0.358974358974359,14,39
40,14.0,40.0,0.35,14,40
41,15.0,41.0,0.36585365853658536,15,41
42,15.0,42.0,0.35714285714285715,15,42
43,16.0,43.0,0.37209302325581395,16,43
44,17.0,44.0,0.38636363636363635,17,44
