step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,4.0,8.0,0.5,4,8
9,4.0,9.0,0.4444444444444444,4,9
10,5.0,10.0,0.5,5,10
11,5.0,11.0,0.45454545454545453,5,11
12,5.0,12.0,0.4166666666666667,5,12
13,6.0,13.0,0.46153846153846156,6,13
14,6.0,14.0,0.42857142857142855,6,14
15,6.0,15.0,0.4,6,15
16,6.0,16.0,0.375,6,16
17,7.0,17.0,0.4117647058823529,7,17
18,7.0,18.0,0.3888888888888889,7,18
19,7.0,19.0,0.3684210526315789,7,19
20,7.0,20.0,0.35,7,20
21,8.0,21.0,0.38095238095238093,8,21
22,8.0,22.0,0.36363636363636365,8,22
23,8.0,23.0,0.34782608695652173,8,23
24,8.0,24.0,0.3333333333333333,8,24
25,9.0,25.0,0.36,9,25
26,9.0,26.0,0.34615384615384615,9,26
27,9.0,27.0,0.3333333333333333,9,27
28,9.0,28.0,0.32142857142857145,9,28
29,10.0,29.0,0.3448275862068966,10,29
30,10.0,30.0,0.3333333333333333,10,30
31,10.0,31.0,0.3225806451612903,10,31
32,10.0,32.0,0.3125,10,32
33,11.0,33.0,0.3333333333333333,11,33
34,11.0,34.0,0.3235294117647059,11,34
35,11.0,35.0,0.3142857142857143,11,35
36,11.0,36.0,0.3055555555555556,11,36
37,11.0,37.0,0.2972972972972973,11,37
38,11.0,38.0,0.2894736842105263,11,38
39,12.0,39.0,0.3076923076923077,12,39
40,12.0,40.0,0.3,12,40
41,12.0,41.0,0.2926829268292683,12,41
42,12.0,42.0,0.2857142857142857,12,42
43,13.0,43.0,0.3023255813953488,13,43
44,13.0,44.0,0.29545454545454547,13,44
45,13.0,45.0,0.28888888888888886,13,45
46,13.0,46.0,0.2826086956521739,13,46
47,14.0,47.0,0.2978723404255319,14,47
48,14.0,48.0,0.2916666666666667,14,48
