step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,3.0,8.0,0.375,3,8
9,3.0,9.0,0.3333333333333333,3,9
10,3.0,10.0,0.3,3,10
11,3.0,11.0,0.2727272727272727,3,11
12,4.0,12.0,0.3333333333333333,4,12
13,4.0,13.0,0.3076923076923077,4,13
14,4.0,14.0,0.2857142857142857,4,14
15,4.0,15.0,0.26666666666666666,4,15
16,5.0,16.0,0.3125,5,16
17,5.0,17.0,0.29411764705882354,5,17
18,6.0,18.0,0.3333333333333333,6,18
19,7.0,19.0,0.3684210526315789,7,19
