run_id,run_dir,run_status,final_success,eligible_for_l_gate,agent_workspace_retained,run_validation_passed,leakage_passed,leakage_hit_count,row_usable_for_claims,clean_repo_bytes,clean_repo_bytes_provenance,initial_workspace_bytes,initial_workspace_bytes_provenance,final_workspace_bytes,final_workspace_bytes_provenance,unchanged_initial_bytes,unchanged_initial_bytes_provenance,modified_file_bytes,modified_file_bytes_provenance,new_file_bytes,new_file_bytes_provenance,deleted_file_bytes,deleted_file_bytes_provenance,final_diff_bytes,final_diff_bytes_provenance,touched_file_bytes,touched_file_bytes_provenance,read_file_bytes,read_file_bytes_provenance,tool_output_bytes,tool_output_bytes_provenance,test_log_bytes,test_log_bytes_provenance,build_artifact_bytes,build_artifact_bytes_provenance,dependency_cache_bytes,dependency_cache_bytes_provenance,retrieved_document_bytes,retrieved_document_bytes_provenance,workspace_total_bytes,workspace_total_bytes_provenance,hidden_or_protected_bytes,hidden_or_protected_bytes_provenance,skipped_symlink_count,setup_command_count,lockfile_count,final_diff_semantics
noop_aimo,runs/d_smoke/noop_aimo,completed_failure,False,,True,,True,0,True,0,missing,0,missing,0,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,2809,lower_bound_transcript_snippet_bytes,10900,measured,0,measured,0,measured,0,measured,0,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
oracle_aimo_airline_departures,runs/d_smoke/oracle_aimo_airline_departures,completed_success,True,,True,,True,0,True,0,missing,0,missing,0,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,2856,lower_bound_transcript_snippet_bytes,6302,measured,0,measured,0,measured,0,measured,0,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
oracle_grid_pattern_transform,runs/d_smoke/oracle_grid_pattern_transform,completed_success,True,,True,,True,0,True,0,missing,0,missing,0,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,3283,lower_bound_transcript_snippet_bytes,8996,measured,0,measured,0,measured,0,measured,0,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
oracle_hello_world,runs/d_smoke/oracle_hello_world,completed_success,True,,True,,True,0,True,0,missing,0,missing,0,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,2808,lower_bound_transcript_snippet_bytes,8452,measured,0,measured,0,measured,0,measured,0,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
harbor_native_aimo_run,runs/feasibility/harbor_native_aimo_run,completed_success,True,,False,,,0,False,0,missing,0,missing,0,missing,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,73,lower_bound_transcript_snippet_bytes,5426,measured,0,missing,0,missing,0,missing,0,missing,0,missing,0,0,0,patch_file_bytes_not_touched_file_payload
hf_archive_custom_aimo_run,runs/feasibility/hf_archive_custom_aimo_run,completed_success,True,,False,,,0,False,0,missing,0,missing,0,missing,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,217,lower_bound_transcript_snippet_bytes,6020,measured,0,missing,0,missing,0,missing,0,missing,0,missing,0,0,0,patch_file_bytes_not_touched_file_payload
oracle_hello_world_replay,runs/g_sidecar/oracle_hello_world_replay,artifact_incomplete,,,False,,,0,False,0,missing,0,missing,0,missing,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,0,missing,0,missing,0,missing,0,missing,0,missing,0,missing,0,missing,0,missing,0,0,0,patch_file_bytes_not_touched_file_payload
hello-world__cobuddyfree,runs/openrouter_free_smoke/hello-world__cobuddyfree,completed_failure,False,False,True,,True,0,True,0,missing,0,missing,107,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,13,trace_derived_touched_file_upper_bound,0,missing_without_initial_workspace_manifest,0,measured,13,trace_derived,94,trace_derived,446,lower_bound_transcript_snippet_bytes,1845,measured,0,measured,0,measured,0,measured,107,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
hello-world__cobuddyfree_v2,runs/openrouter_free_smoke/hello-world__cobuddyfree_v2,completed_success,True,False,True,,True,0,True,0,missing,0,missing,107,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,13,trace_derived_touched_file_upper_bound,0,missing_without_initial_workspace_manifest,0,measured,13,trace_derived,107,trace_derived,280,lower_bound_transcript_snippet_bytes,8453,measured,0,measured,0,measured,0,measured,107,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
adaptive-rejection-sampler__openai_gpt51,runs/real_model_mini3/adaptive-rejection-sampler__openai_gpt51,completed_failure,False,True,True,,True,0,True,0,missing,0,missing,5499,measured,0,missing_without_initial_workspace_manifest,0,patch_file_bytes,0,missing,0,missing_without_initial_workspace_manifest,0,measured,0,missing,11,trace_derived,3222,lower_bound_transcript_snippet_bytes,56440,measured,0,measured,0,measured,0,measured,5499,measured,0,measured,0,0,0,patch_file_bytes_not_touched_file_payload
