step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,2.0,4.0,0.5,2,4
5,2.0,5.0,0.4,2,5
6,3.0,6.0,0.5,3,6
7,3.0,7.0,0.42857142857142855,3,7
8,3.0,8.0,0.375,3,8
9,3.0,9.0,0.3333333333333333,3,9
10,3.0,10.0,0.3,3,10
11,4.0,11.0,0.36363636363636365,4,11
12,4.0,12.0,0.3333333333333333,4,12
13,5.0,13.0,0.38461538461538464,5,13
14,5.0,14.0,0.35714285714285715,5,14
15,5.0,15.0,0.3333333333333333,5,15
16,6.0,16.0,0.375,6,16
17,6.0,17.0,0.35294117647058826,6,17
18,7.0,18.0,0.3888888888888889,7,18
19,6.0,19.0,0.3157894736842105,6,19
