step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,0,2.0,0.0,0,2
3,1.0,3.0,0.3333333333333333,1,3
4,1.0,4.0,0.25,1,4
5,2.0,5.0,0.4,2,5
6,2.0,6.0,0.3333333333333333,2,6
7,3.0,7.0,0.42857142857142855,3,7
8,3.0,8.0,0.375,3,8
9,4.0,9.0,0.4444444444444444,4,9
10,4.0,10.0,0.4,4,10
11,4.0,11.0,0.36363636363636365,4,11
12,5.0,12.0,0.4166666666666667,5,12
13,5.0,13.0,0.38461538461538464,5,13
14,6.0,14.0,0.42857142857142855,6,14
15,6.0,15.0,0.4,6,15
16,7.0,16.0,0.4375,7,16
17,7.0,17.0,0.4117647058823529,7,17
18,8.0,18.0,0.4444444444444444,8,18
19,8.0,19.0,0.42105263157894735,8,19
20,9.0,20.0,0.45,9,20
21,8.0,21.0,0.38095238095238093,8,21
