pack_id,pack_seed,template_ids,context_tokens,prompt_tokens,output_tokens
1,1002,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614,4830;24832;23659;25784;23334;10148;29074;5673,631;500;191;810;254;343;297;191,77;15;40;6;12;12;1;8
2,1003,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614,17054;17183;28746;5779;17165;14625;7113;15832,158;70;290;169;469;79;191;258,28;370;9;1;20;15;1;1
3,1004,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d,25620;8439;8745;19495;16709;17645;24217;21294,215;92;223;375;504;468;1244;3740,194;1;22;1;14;8;1;71
4,1005,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1,11407;17634;22354;22871;8328;13756;26903;10574,357;211;302;325;367;29;345;8752,66;22;21;110;1;27;24;13
5,1006,nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64,9405;25968;16642;22878;24741;18944;27458;5244,551;387;313;529;282;114;152;93,73;156;139;404;15;1;22;17
6,1007,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3,7732;11335;15251;8243;3521;5561;21295;23922,863;92;2011;83;1130;697;350;222,15;13;24;29;1;1;33;58
7,1008,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1,2929;21568;9396;18777;9908;23394;7072;29726,1553;353;744;1253;88;75;79;146,12;12;19;8;24;1;14;1
8,1009,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64,10971;9953;2920;22655;5019;22132;28865;25870,45;609;428;49;115;967;136;1007,1;56;1;1;15;91;31;21
9,1010,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d,13712;11016;5719;5485;13866;4914;11490;18015,34;116;756;76;128;292;160;75,26;22;1;16;1;1;1;17
10,1011,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa,15419;13473;31485;4951;18282;6789;3029;23196,163;68;385;239;110;932;1900;1341,477;15;1;44;16;71;12;34
