policy,slack_multiplier,max_safe_shed_fraction,p95_delay_at_frontier,p95_normalized_delay_at_frontier,miss_rate_at_frontier,max_net_busy_at_frontier,max_prefill_busy_at_frontier,replay_shed_frac_at_frontier,state_shed_frac_at_frontier
CVXPY-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
CVXPY-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
CVXPY-rounded,1.0,0.2,23.477884958588312,0.3818453122111912,0.0,0.00978577914716071,0.4004854383071097,0.9907692307692307,0.009230769230769228
CVXPY-rounded,2.0,0.4,59.49973001956655,0.6476061591857849,0.0,0.5511712249469876,0.7356633098475992,0.8969846153846154,0.10301538461538466
deadline-aware-m0.8-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m0.8-rounded,0.5,0.2,38.934799032814446,0.7372608339480908,0.0,0.7890722932934976,0.3715789308770408,0.5750153846153845,0.42498461538461546
deadline-aware-m0.8-rounded,1.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m0.8-rounded,2.0,0.5,59.023608998705576,0.8273256999812566,0.0,1.1130414719241084,1.0150318816303052,0.7624064592359198,0.23759354076408024
deadline-aware-m1.0-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m1.0-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m1.0-rounded,1.0,0.2,55.1872263242568,0.6438565581352148,0.01,1.1779786998852053,0.3448265315738178,0.4323692307692308,0.5676307692307693
deadline-aware-m1.0-rounded,2.0,0.4,66.1072643104198,0.7907891326095867,0.005434782608695652,1.303915532320901,0.8429386575187203,0.7145230769230767,0.2854769230769233
mirror-descent-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mirror-descent-rounded,0.5,0.2,23.16230166855137,0.5067178846896357,0.0,3.6917764045413775e-05,0.4928096925558385,1.0,0.0
mirror-descent-rounded,1.0,0.3,28.67354274756229,0.4149315174244406,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
mirror-descent-rounded,2.0,0.4,67.7662382824974,0.7981402437138994,0.008620689655172414,0.6889463626625036,0.7693308751380816,0.8683692307692307,0.13163076923076927
crossover-greedy,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
crossover-greedy,0.5,0.2,26.94050931147946,0.5410874534985448,0.0,4.101973782823753e-05,0.5475663250620427,1.0,0.0
crossover-greedy,1.0,0.3,39.90548802548713,0.4719533956502571,0.0,6.090244234413589e-05,0.812977564150226,1.0,0.0
crossover-greedy,2.0,0.3,39.90548802548713,0.23597669782512856,0.0,6.090244234413589e-05,0.812977564150226,1.0,0.0
mixed-greedy,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mixed-greedy,0.5,0.2,26.94050931147946,0.5410874534985448,0.0,4.101973782823753e-05,0.5475663250620427,1.0,0.0
mixed-greedy,1.0,0.3,28.67354274756229,0.4149315174244406,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
mixed-greedy,2.0,0.3,28.67354274756229,0.2074657587122203,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
replay-only,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
replay-only,0.5,0.2,26.94050931147946,0.5410874534985448,0.0,4.101973782823753e-05,0.5475663250620427,1.0,0.0
replay-only,1.0,0.3,28.67354274756229,0.4149315174244406,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
replay-only,2.0,0.3,28.67354274756229,0.2074657587122203,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
state-only,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,1.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,2.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
local-repair-oracle,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
local-repair-oracle,0.5,0.2,15.986612616952133,0.7631562271443734,0.0,0.2590129511331546,0.3393802558820635,0.8401230769230769,0.15987692307692303
local-repair-oracle,1.0,0.4,36.884727366227736,0.8930171362553037,0.008620689655172414,0.7996766036381638,0.8328971732841769,0.8179692307692307,0.1820307692307693
local-repair-oracle,2.0,0.5,55.950954684449115,0.8964412888422622,0.0,0.9307442651682618,0.9968993946628432,0.7810653800708942,0.21893461992910584
