policy,source_prefill_fraction,deadline_scale,drain_window_s,status,safe,failure_mode,source_prefill_target_s,source_prefill_moved_s,source_prefill_removal_rate_s_per_s,request_migration_fraction,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,mean_delay_s,p50_delay_s,p95_delay_s,p99_delay_s,p95_delay_over_deadline,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_source_prefill_fraction,state_transfer_source_prefill_fraction,fractional_network_capacity_pressure,fractional_prefill_capacity_pressure,drain_completion_s,objective
CVXPY-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,inf,0.04188217986296677,nan,nan,nan,nan,13.107638396873059,15.962883737668438,24.042535606300337,24.609337807817404,1.6538216645312704,0.37209302325581395,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,2.101471766697292e-05,0.420732843524163,24.679259055065582,24.56768057760926
CVXPY-rounded,0.2,0.25,900.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.2784471218206158,0.04188217986296677,nan,nan,nan,nan,0.9193714251799094,0.42751615775864593,2.4581267997523355,2.678444463235195,0.41494705907554047,0.023255813953488372,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,2.101471766697292e-05,0.420732843524163,879.0725715949567,24.56768057760926
CVXPY-rounded,0.2,0.25,1800.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.1392235609103079,0.04188217986296677,nan,nan,nan,nan,0.9193714251798759,0.42751615775864593,2.4581267997523355,2.6784444632352034,0.4149470590755468,0.023255813953488372,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,2.101471766697292e-05,0.420732843524163,1758.142339036817,24.56768057760926
CVXPY-rounded,0.2,0.25,3600.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.06961178045515395,0.04188217986296677,nan,nan,nan,nan,0.919371425179929,0.4275161577588733,2.4581267997523355,2.6784444632352034,0.4149470590755395,0.023255813953488372,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,2.101471766697292e-05,0.420732843524163,3516.281873920538,24.56768057760926
deadline-penalty-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,inf,0.04152010918216641,0.023947797949187957,0.10609065226150759,0.8149473510710291,1.664947351071029,11.04861672304623,11.721937918786317,18.519105363825833,19.237296641037556,1.1318320572014593,0.06976744186046512,0.00978194003407447,0.3236138215406355,0.9907692307692307,0.00923076923076923,0.010386006531964661,0.34112974225802706,19.41684446034049,29.836064250957794
deadline-penalty-rounded,0.2,0.25,900.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.2784471218206158,0.04152010918216641,0.023947797949187957,0.10609065226150759,0.8149473510710291,1.664947351071029,1.083615293552163,0.42751615775864593,3.240878145943309,3.285644068799229,0.4149470590755424,0.023255813953488372,0.00978194003407447,0.3236138215406355,0.9907692307692307,0.00923076923076923,0.010386006531964661,0.34112974225802706,879.0725715949567,29.836064250957794
deadline-penalty-rounded,0.2,0.25,1800.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.1392235609103079,0.04152010918216641,0.023947797949187957,0.10609065226150759,0.8149473510710291,1.664947351071029,1.083615293552129,0.42751615775864593,3.240878145943308,3.285644068799229,0.41494705907554047,0.023255813953488372,0.00978194003407447,0.3236138215406355,0.9907692307692307,0.00923076923076923,0.010386006531964661,0.34112974225802706,1758.142339036817,29.836064250957794
deadline-penalty-rounded,0.2,0.25,3600.0,UNSAFE,False,deadline misses,250.59624096385548,250.60240963855424,0.06961178045515395,0.04152010918216641,0.023947797949187957,0.10609065226150759,0.8149473510710291,1.664947351071029,1.0836152935521772,0.4275161577588733,3.2408781459433094,3.285644068799229,0.4149470590755468,0.023255813953488372,0.00978194003407447,0.3236138215406355,0.9907692307692307,0.00923076923076923,0.010386006531964661,0.34112974225802706,3516.281873920538,29.836064250957794
deadline-aware-m0.8-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,250.59624096385548,250.6024096385542,inf,0.06505959055077119,nan,nan,nan,nan,11.790848420557566,11.112016741974056,27.941472133560573,29.459633196442155,1.018857068898609,0.06153846153846154,0.4829841842945464,0.40402287758243544,0.7606153846153846,0.23938461538461545,0.4082303474263412,0.3694533284194784,30.314001443143265,250.59624096489256
deadline-aware-m0.8-rounded,0.2,0.25,900.0,UNSAFE,False,deadline misses,250.59624096385548,250.6024096385542,0.27844712182061576,0.06505959055077119,nan,nan,nan,nan,1.9226094995821568,0.5157003293264779,6.656604687042703,9.984651203652456,0.4091140249002159,0.015384615384615385,0.4829841842945464,0.40402287758243544,0.7606153846153846,0.23938461538461545,0.4082303474263412,0.3694533284194784,886.3085374344562,250.59624096489256
