pilot_id,source_id,instance_id,model_name,final_success,trajectory_length,patch_available,eval_log_available,raw_path_or_dataset_index,selection_reason
swe_agent_pilot_f_01,nebius:WIPACrepo__iceprod-339:swe-agent-llama-70b,WIPACrepo__iceprod-339,swe-agent-llama-70b,False,17,True,True,nebius/SWE-agent-trajectories:train:25550,primary_balanced_10_10
swe_agent_pilot_f_02,nebius:asottile__pyupgrade-933:swe-agent-llama-70b,asottile__pyupgrade-933,swe-agent-llama-70b,False,509,True,True,nebius/SWE-agent-trajectories:train:48200,primary_balanced_10_10
swe_agent_pilot_f_03,nebius:asottile__setup-cfg-fmt-132:swe-agent-llama-70b,asottile__setup-cfg-fmt-132,swe-agent-llama-70b,False,113,True,True,nebius/SWE-agent-trajectories:train:18165,primary_balanced_10_10
swe_agent_pilot_f_04,nebius:dfm__emcee-510:swe-agent-llama-70b,dfm__emcee-510,swe-agent-llama-70b,False,19,True,True,nebius/SWE-agent-trajectories:train:69069,primary_balanced_10_10
swe_agent_pilot_f_05,nebius:fairlearn__fairlearn-967:swe-agent-llama-70b,fairlearn__fairlearn-967,swe-agent-llama-70b,False,35,True,True,nebius/SWE-agent-trajectories:train:64867,primary_balanced_10_10
swe_agent_pilot_f_06,nebius:googleapis__python-spanner-317:swe-agent-llama-70b,googleapis__python-spanner-317,swe-agent-llama-70b,False,33,True,True,nebius/SWE-agent-trajectories:train:52966,primary_balanced_10_10
swe_agent_pilot_f_07,nebius:openstack-charmers__zaza-36:swe-agent-llama-70b,openstack-charmers__zaza-36,swe-agent-llama-70b,False,183,True,True,nebius/SWE-agent-trajectories:train:37645,primary_balanced_10_10
swe_agent_pilot_f_08,nebius:pydantic__pydantic-740:swe-agent-llama-70b,pydantic__pydantic-740,swe-agent-llama-70b,False,77,True,True,nebius/SWE-agent-trajectories:train:56260,primary_balanced_10_10
swe_agent_pilot_f_09,nebius:python-cmd2__cmd2-681:swe-agent-llama-70b,python-cmd2__cmd2-681,swe-agent-llama-70b,False,41,True,True,nebius/SWE-agent-trajectories:train:16314,primary_balanced_10_10
swe_agent_pilot_f_10,nebius:walles__px-50:swe-agent-llama-70b,walles__px-50,swe-agent-llama-70b,False,81,True,True,nebius/SWE-agent-trajectories:train:56446,primary_balanced_10_10
swe_agent_pilot_s_01,nebius:Melevir__cognitive_complexity-15:swe-agent-llama-70b,Melevir__cognitive_complexity-15,swe-agent-llama-70b,True,43,True,True,nebius/SWE-agent-trajectories:train:26,primary_balanced_10_10
swe_agent_pilot_s_02,nebius:geomet__geomet-101:swe-agent-llama-70b,geomet__geomet-101,swe-agent-llama-70b,True,27,True,True,nebius/SWE-agent-trajectories:train:2848,primary_balanced_10_10
swe_agent_pilot_s_03,nebius:hsahovic__poke-env-68:swe-agent-llama-70b,hsahovic__poke-env-68,swe-agent-llama-70b,True,37,True,True,nebius/SWE-agent-trajectories:train:66567,primary_balanced_10_10
swe_agent_pilot_s_04,nebius:joke2k__django-environ-174:swe-agent-llama-70b,joke2k__django-environ-174,swe-agent-llama-70b,True,17,True,True,nebius/SWE-agent-trajectories:train:76189,primary_balanced_10_10
swe_agent_pilot_s_05,nebius:lidatong__dataclasses-json-394:swe-agent-llama-70b,lidatong__dataclasses-json-394,swe-agent-llama-70b,True,33,True,True,nebius/SWE-agent-trajectories:train:77604,primary_balanced_10_10
swe_agent_pilot_s_06,nebius:mahmoud__boltons-298:swe-agent-llama-70b,mahmoud__boltons-298,swe-agent-llama-70b,True,29,True,True,nebius/SWE-agent-trajectories:train:36311,primary_balanced_10_10
swe_agent_pilot_s_07,nebius:mc706__changelog-cli-34:swe-agent-llama-70b,mc706__changelog-cli-34,swe-agent-llama-70b,True,23,True,True,nebius/SWE-agent-trajectories:train:16055,primary_balanced_10_10
swe_agent_pilot_s_08,nebius:oasis-open__cti-taxii-client-11:swe-agent-llama-70b,oasis-open__cti-taxii-client-11,swe-agent-llama-70b,True,29,True,True,nebius/SWE-agent-trajectories:train:32241,primary_balanced_10_10
swe_agent_pilot_s_09,nebius:omni-us__jsonargparse-370:swe-agent-llama-70b,omni-us__jsonargparse-370,swe-agent-llama-70b,True,19,True,True,nebius/SWE-agent-trajectories:train:70864,primary_balanced_10_10
swe_agent_pilot_s_10,nebius:planetlabs__planet-client-python-389:swe-agent-llama-70b,planetlabs__planet-client-python-389,swe-agent-llama-70b,True,23,True,True,nebius/SWE-agent-trajectories:train:69434,primary_balanced_10_10
