step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,1.0,2.0,0.5,1,2
3,1.0,3.0,0.3333333333333333,1,3
4,1.0,4.0,0.25,1,4
5,1.0,5.0,0.2,1,5
6,2.0,6.0,0.3333333333333333,2,6
7,2.0,7.0,0.2857142857142857,2,7
8,3.0,8.0,0.375,3,8
9,3.0,9.0,0.3333333333333333,3,9
10,4.0,10.0,0.4,4,10
11,4.0,11.0,0.36363636363636365,4,11
12,5.0,12.0,0.4166666666666667,5,12
13,5.0,13.0,0.38461538461538464,5,13
14,5.0,14.0,0.35714285714285715,5,14
15,5.0,15.0,0.3333333333333333,5,15
16,6.0,16.0,0.375,6,16
17,6.0,17.0,0.35294117647058826,6,17
18,7.0,18.0,0.3888888888888889,7,18
19,8.0,19.0,0.42105263157894735,8,19
