step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,0,2.0,0.0,0,2
3,1.0,3.0,0.3333333333333333,1,3
4,1.0,4.0,0.25,1,4
5,2.0,5.0,0.4,2,5
6,2.0,6.0,0.3333333333333333,2,6
7,2.0,7.0,0.2857142857142857,2,7
8,2.0,8.0,0.25,2,8
9,2.0,9.0,0.2222222222222222,2,9
10,3.0,10.0,0.3,3,10
11,3.0,11.0,0.2727272727272727,3,11
12,4.0,12.0,0.3333333333333333,4,12
13,4.0,13.0,0.3076923076923077,4,13
14,4.0,14.0,0.2857142857142857,4,14
15,4.0,15.0,0.26666666666666666,4,15
16,4.0,16.0,0.25,4,16
17,5.0,17.0,0.29411764705882354,5,17
18,5.0,18.0,0.2777777777777778,5,18
19,6.0,19.0,0.3157894736842105,6,19
20,6.0,20.0,0.3,6,20
21,6.0,21.0,0.2857142857142857,6,21
22,6.0,22.0,0.2727272727272727,6,22
23,6.0,23.0,0.2608695652173913,6,23
24,7.0,24.0,0.2916666666666667,7,24
25,8.0,25.0,0.32,8,25
