agent_scaffold,end_wall_time,final_success,final_success_source,finish_seconds,finish_step,has_real_wallclock,ledger_event_count,ledger_path,model_name,notes,run_id,source,start_wall_time,task_family,task_id,timeout
hermes_agent_reasoning,,,missing,,,False,4,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_001/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_001: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_001,hermes_pilot_h5_v2,,File Operations,02abbaec-87bc-4c76-966d-4f228025070e,False
hermes_agent_reasoning,,,missing,,,False,7,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_002/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_002: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_002,hermes_pilot_h5_v2,,Repository Tasks,00c29f00-ad8a-4643-a6f2-32f943dddc26,False
hermes_agent_reasoning,,,missing,,,False,25,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_003/ledger.jsonl,kimi,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_003: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_003,hermes_pilot_h5_v2,,Repository Tasks,010b5f5c-0db3-401f-975d-31bcbd5b232b,False
hermes_agent_reasoning,,,missing,,,False,13,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_004/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_004: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_004,hermes_pilot_h5_v2,,Terminal & Coding,0021c30b-2737-444a-abe3-31d160ea34b7,False
hermes_agent_reasoning,,,missing,,,False,15,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_005/ledger.jsonl,kimi,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_005: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_005,hermes_pilot_h5_v2,,Terminal & Coding,085c8288-b6d6-4e7f-a44f-c9d2b4dbc026,False
hermes_agent_reasoning,,,missing,,,False,4,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_006/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_006: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_006,hermes_pilot_h5_v2,,File Operations,07613caf-ec7d-4ab4-99df-ed8cbf7b71d1,False
hermes_agent_reasoning,,,missing,,,False,16,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_007/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_007: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_007,hermes_pilot_h5_v2,,Repository Tasks,341f7316-79f6-4a9f-b304-7d58a3b67c14,False
hermes_agent_reasoning,,,missing,,,False,42,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_008/ledger.jsonl,kimi,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_008: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_008,hermes_pilot_h5_v2,,Repository Tasks,013f3531-9d14-4ac5-b9b0-6a41e75e2b28,False
hermes_agent_reasoning,,,missing,,,False,22,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_009/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_009: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_009,hermes_pilot_h5_v2,,Terminal & Coding,0029ce7c-ca03-4d9d-a6d3-02645cae92ea,False
hermes_agent_reasoning,,,missing,,,False,21,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_010/ledger.jsonl,kimi,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_010: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_010,hermes_pilot_h5_v2,,Terminal & Coding,2b0993c4-8b6c-40cc-845d-bbc21b661594,False
hermes_agent_reasoning,,,missing,,,False,7,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_011/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_011: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_011,hermes_pilot_h5_v2,,File Operations,08bad693-4cd5-4a58-a76c-1dd5e41e3b5c,False
hermes_agent_reasoning,,,missing,,,False,16,/Users/grantwilkins/houdini/coding-progress-ledger/runs/hermes_pilot_h5_v2/hermes_pilot_h5_012/ledger.jsonl,glm-5.1,"unresolvable_label: run hermes_pilot_h5_v2/hermes_pilot_h5_012: upstream returned (None, 'unknown'); caller must skip per § 0.9",hermes_pilot_h5_012,hermes_pilot_h5_v2,,Repository Tasks,5627d1dd-36d6-4d74-8f95-8fb8ec8533f1,False
